None,ticker,dimension,calendardate,datekey,reportperiod,lastupdated,accoci,assets,assetsavg,assetsc,assetsnc,assetturnover,bvps,capex,cashneq,cashnequsd,cor,consolinc,currentratio,de,debt,debtc,debtnc,debtusd,deferredrev,depamor,deposits,divyield,dps,ebit,ebitda,ebitdamargin,ebitdausd,ebitusd,ebt,eps,epsdil,epsusd,equity,equityavg,equityusd,ev,evebit,evebitda,fcf,fcfps,fxusd,gp,grossmargin,intangibles,intexp,invcap,invcapavg,inventory,investments,investmentsc,investmentsnc,liabilities,liabilitiesc,liabilitiesnc,marketcap,ncf,ncfbus,ncfcommon,ncfdebt,ncfdiv,ncff,ncfi,ncfinv,ncfo,ncfx,netinc,netinccmn,netinccmnusd,netincdis,netincnci,netmargin,opex,opinc,payables,payoutratio,pb,pe,pe1,ppnenet,prefdivis,price,ps,ps1,receivables,retearn,revenue,revenueusd,rnd,roa,roe,roic,ros,sbcomp,sgna,sharefactor,sharesbas,shareswa,shareswadil,sps,tangibles,taxassets,taxexp,taxliabilities,tbvps,workingcapital
81151,HILI1,MRY,1998-12-31,1998-06-30,1998-06-30,2018-08-31,0.0,57356492.0,57287835.0,25841825.0,31514667.0,1.522,5.336,-3070083.0,0.0,0.0,69763754.0,4511855.0,1.692,1.194,15379841.0,2422945.0,12956896.0,15379841.0,0.0,3859618.0,0.0,0.009,0.075,8376686.0,12236304.0,0.14,12236304.0,8376686.0,7056729.0,0.92,0.92,0.92,26147909.0,24075732.0,26147909.0,60707634.0,7.0,4.961,3896860.0,0.795,1.0,17402714.0,0.2,3898209.0,1319957.0,53565198.0,55620900.0,9927849.0,0.0,0.0,0.0,31208583.0,15272926.0,15935657.0,42262500.0,0.0,0.0,0.0,-3529360.0,-367500.0,-3896860.0,-3070083.0,0.0,6966943.0,0.0,4511855.0,4511855.0,4511855.0,0.0,0.0,0.052,9026028.0,8376686.0,12849981.0,0.082,1.616,9.367,9.375,27616458.0,0.0,8.625,0.485,0.485,12006479.0,16993235.0,87166468.0,87166468.0,0.0,0.079,0.187,0.151,0.096,0.0,9026028.0,1.0,4900000.0,4900000.0,4912655.0,17.789,53458283.0,2359200.0,2544874.0,2978761.0,10.91,10568899.0
81152,HILI1,MRT,1998-12-31,1998-12-31,1998-12-31,2018-08-31,0.0,58135725.0,58644212.0,26748997.0,31386728.0,1.502,5.767,-3558534.0,0.0,0.0,70052880.0,5137302.0,1.993,1.057,16018252.0,2542945.0,13475307.0,16018252.0,0.0,3897563.0,0.0,0.011,0.1,9275726.0,13173289.0,0.15,13173289.0,9275726.0,8065976.0,1.05,1.05,1.05,28260661.0,26645349.0,28260661.0,65164190.0,7.0,4.947,2813852.0,0.574,1.0,18039990.0,0.205,3784115.0,1209750.0,56948866.0,58046844.0,11031017.0,0.0,0.0,0.0,29875064.0,13420996.0,16454068.0,45325000.0,,0.0,0.0,-2648852.0,-490000.0,-3138852.0,-3233534.0,0.0,6372386.0,,5137302.0,5137302.0,5137302.0,0.0,0.0,0.058,8764264.0,9275726.0,10235204.0,0.095,1.604,8.823,8.81,27602613.0,0.0,9.25,0.515,0.515,13536804.0,19105987.0,88092870.0,88092870.0,0.0,0.088,0.193,0.16,0.105,0.0,8764264.0,1.0,4900000.0,4900000.0,4920018.0,17.978,54351610.0,1817012.0,2928674.0,3621608.0,11.092,13328001.0
81153,HILI1,MRT,1998-09-30,1998-09-30,1998-09-30,2018-08-31,0.0,60055211.0,58581375.0,28502885.0,31552326.0,1.493,5.555,-2622446.0,0.0,0.0,69569771.0,4914960.0,2.291,1.206,19839190.0,2422945.0,17416245.0,19839190.0,0.0,3779759.0,0.0,0.013,0.1,8963702.0,12743461.0,0.146,12743461.0,8963702.0,7686261.0,1.0,1.0,1.0,27220640.0,25483123.0,27220640.0,52742341.0,6.0,4.139,-620114.0,-0.127,1.0,17882396.0,0.204,3841162.0,1277441.0,63613674.0,58550483.0,11031883.0,0.0,0.0,0.0,32834571.0,12439565.0,20395006.0,37362500.0,,0.0,0.0,785114.0,-490000.0,295114.0,-2297446.0,0.0,2002332.0,,4914960.0,4914960.0,4914960.0,0.0,0.0,0.056,8918694.0,8963702.0,10010626.0,0.1,1.373,7.602,7.625,27711164.0,0.0,7.625,0.427,0.427,14543197.0,18065966.0,87452167.0,87452167.0,0.0,0.084,0.193,0.153,0.102,0.0,8918694.0,1.0,4900000.0,4900000.0,4919361.0,17.847,56214049.0,1817012.0,2771301.0,2984755.0,11.472,16063320.0
81154,HILI1,MRT,1998-06-30,1998-06-30,1998-06-30,2018-08-31,0.0,57356492.0,57287835.0,25841825.0,31514667.0,1.522,5.336,-3070083.0,0.0,0.0,69763754.0,4511855.0,1.692,1.194,15379841.0,2422945.0,12956896.0,15379841.0,0.0,3859618.0,0.0,0.009,0.075,8376686.0,12236304.0,0.14,12236304.0,8376686.0,7056729.0,0.92,0.92,0.92,26147909.0,24075732.0,26147909.0,60707634.0,7.0,4.961,3896860.0,0.795,1.0,17402714.0,0.2,3898209.0,1319957.0,53565198.0,55620900.0,9927849.0,0.0,0.0,0.0,31208583.0,15272926.0,15935657.0,42262500.0,0.0,0.0,0.0,-3529360.0,-367500.0,-3896860.0,-3070083.0,0.0,6966943.0,0.0,4511855.0,4511855.0,4511855.0,0.0,0.0,0.052,9026028.0,8376686.0,12849981.0,0.082,1.616,9.367,9.375,27616458.0,0.0,8.625,0.485,0.485,12006479.0,16993235.0,87166468.0,87166468.0,0.0,0.079,0.187,0.151,0.096,0.0,9026028.0,1.0,4900000.0,4900000.0,4912655.0,17.789,53458283.0,2359200.0,2544874.0,2978761.0,10.91,10568899.0
81155,HILI1,MRT,1998-03-31,1998-03-31,1998-03-31,2018-08-31,0.0,59029418.0,,26760701.0,32268717.0,,5.092,-3099798.0,0.0,0.0,68817233.0,1773483.0,1.731,1.366,18445134.0,2422950.0,16022184.0,18445134.0,0.0,3704558.0,0.0,0.006,0.05,4174268.0,7878826.0,0.094,7878826.0,4174268.0,2741438.0,0.36,0.36,0.36,24952185.0,,24952185.0,59039788.0,14.0,7.493,3536177.0,0.722,1.0,15257897.0,0.181,3955256.0,1432830.0,58059639.0,,10914737.0,0.0,0.0,0.0,34077233.0,15459657.0,18617576.0,38587500.0,,0.0,0.0,-3291177.0,-245000.0,-3536177.0,-3099798.0,0.0,6635975.0,,1773483.0,1773483.0,1773483.0,0.0,0.0,0.021,11083629.0,4174268.0,12610775.0,0.139,1.546,21.758,21.875,26122178.0,0.0,7.875,0.459,0.459,13255113.0,15797511.0,84075130.0,84075130.0,0.0,,,,0.05,0.0,11083629.0,1.0,4900000.0,4900000.0,4913198.0,17.158,55074162.0,1774082.0,967955.0,3021324.0,11.24,11301044.0
81156,HILI1,MRQ,1998-12-31,1998-12-31,1998-12-31,2018-08-31,0.0,58135725.0,,26748997.0,31386728.0,,5.767,-843401.0,0.0,0.0,16887804.0,1160920.0,1.993,1.057,16018252.0,2542945.0,13475307.0,16018252.0,0.0,1023931.0,0.0,0.011,0.025,2226726.0,3250657.0,0.153,3250657.0,2226726.0,1884910.0,0.24,0.24,0.24,28260661.0,,28260661.0,65164190.0,7.0,4.947,3943439.0,0.805,1.0,4379390.0,0.206,3784115.0,341816.0,56948866.0,,11031017.0,0.0,0.0,0.0,29875064.0,13420996.0,16454068.0,45325000.0,,0.0,0.0,-3820939.0,-122500.0,-3943439.0,-843401.0,0.0,4786840.0,,1160920.0,1160920.0,1160920.0,0.0,0.0,0.055,2152664.0,2226726.0,10235204.0,0.104,1.604,8.823,8.81,27602613.0,0.0,9.25,0.515,0.515,13536804.0,19105987.0,21267194.0,21267194.0,0.0,,,,,0.0,2152664.0,1.0,4900000.0,4900000.0,4920018.0,4.34,54351610.0,1817012.0,723990.0,3621608.0,11.092,13328001.0
81157,HILI1,MRQ,1998-09-30,1998-09-30,1998-09-30,2018-08-31,0.0,60055211.0,,28502885.0,31552326.0,,5.555,-833459.0,0.0,0.0,16771418.0,1195231.0,2.291,1.206,19839190.0,2422945.0,17416245.0,19839190.0,0.0,855082.0,0.0,0.013,0.025,2247958.0,3103040.0,0.146,3103040.0,2247958.0,1899963.0,0.24,0.24,0.24,27220640.0,,27220640.0,52742341.0,6.0,4.139,-4661849.0,-0.951,1.0,4544579.0,0.213,3841162.0,347995.0,63613674.0,,11031883.0,0.0,0.0,0.0,32834571.0,12439565.0,20395006.0,37362500.0,,0.0,0.0,4459349.0,-122500.0,4336849.0,-508459.0,0.0,-3828390.0,,1195231.0,1195231.0,1195231.0,0.0,0.0,0.056,2296621.0,2247958.0,10010626.0,0.104,1.373,7.602,7.625,27711164.0,0.0,7.625,0.427,0.427,14543197.0,18065966.0,21315997.0,21315997.0,0.0,,,,,0.0,2296621.0,1.0,4900000.0,4900000.0,4919361.0,4.35,56214049.0,1817012.0,704732.0,2984755.0,11.472,16063320.0
81158,HILI1,MRQ,1998-06-30,1998-06-30,1998-06-30,2018-08-31,0.0,57356492.0,,25841825.0,31514667.0,,5.336,-879231.0,0.0,0.0,18801534.0,1318224.0,1.692,1.194,15379841.0,2422945.0,12956896.0,15379841.0,0.0,1100748.0,0.0,0.009,0.025,2353963.0,3454711.0,0.148,3454711.0,2353963.0,2020783.0,0.27,0.27,0.27,26147909.0,,26147909.0,60707634.0,7.0,4.961,3187792.0,0.651,1.0,4601290.0,0.197,3898209.0,333180.0,53565198.0,,9927849.0,0.0,0.0,0.0,31208583.0,15272926.0,15935657.0,42262500.0,0.0,0.0,0.0,-3065292.0,-122500.0,-3187792.0,-879231.0,0.0,4067023.0,0.0,1318224.0,1318224.0,1318224.0,0.0,0.0,0.056,2247327.0,2353963.0,12849981.0,0.093,1.616,9.367,9.375,27616458.0,0.0,8.625,0.485,0.485,12006479.0,16993235.0,23402824.0,23402824.0,0.0,,,,,0.0,2247327.0,1.0,4900000.0,4900000.0,4950620.0,4.776,53458283.0,2359200.0,702559.0,2978761.0,10.91,10568899.0
81159,HILI1,MRQ,1998-03-31,1998-03-31,1998-03-31,2018-08-31,0.0,59029418.0,,26760701.0,32268717.0,,5.092,-1002443.0,0.0,0.0,17592124.0,1462927.0,1.731,1.366,18445134.0,2422950.0,16022184.0,18445134.0,0.0,917802.0,0.0,0.006,0.025,2447079.0,3364881.0,0.152,3364881.0,2447079.0,2260320.0,0.3,0.3,0.3,24952185.0,,24952185.0,59039788.0,14.0,7.493,344470.0,0.07,1.0,4514731.0,0.204,3955256.0,186759.0,58059639.0,,10914737.0,0.0,0.0,0.0,34077233.0,15459657.0,18617576.0,38587500.0,,0.0,0.0,-221970.0,-122500.0,-344470.0,-1002443.0,0.0,1346913.0,,1462927.0,1462927.0,1462927.0,0.0,0.0,0.066,2067652.0,2447079.0,12610775.0,0.083,1.546,21.758,21.875,26122178.0,0.0,7.875,0.459,0.459,13255113.0,15797511.0,22106855.0,22106855.0,0.0,,,,,0.0,2067652.0,1.0,4900000.0,4900000.0,4913198.0,4.512,55074162.0,1774082.0,797393.0,3021324.0,11.24,11301044.0
81160,HILI1,ARY,1998-12-31,1998-09-28,1998-06-30,2018-08-31,0.0,57356492.0,,25841825.0,31514667.0,,5.336,-3070083.0,0.0,0.0,69763754.0,4511855.0,1.692,1.194,15379841.0,2422945.0,12956896.0,15379841.0,0.0,3859618.0,0.0,0.013,0.1,8376686.0,12236304.0,0.14,12236304.0,8376686.0,7056729.0,0.92,0.92,0.92,26147909.0,,26147909.0,53661091.0,6.0,4.385,3896860.0,0.795,1.0,17402714.0,0.2,3898209.0,1319957.0,53565198.0,,9927849.0,0.0,0.0,0.0,31208583.0,15272926.0,15935657.0,38281250.0,0.0,0.0,0.0,-3529360.0,-367500.0,-3896860.0,-3070083.0,0.0,6966943.0,0.0,4511855.0,4511855.0,4511855.0,0.0,0.0,0.052,9026028.0,8376686.0,12849981.0,0.109,1.464,8.485,8.492,27616458.0,0.0,7.813,0.439,0.439,12006479.0,16993235.0,87166468.0,87166468.0,0.0,,,,0.096,0.0,9026028.0,1.0,4900000.0,4900000.0,4912655.0,17.789,53458283.0,2359200.0,2544874.0,2978761.0,10.91,10568899.0
81161,HILI1,ART,1998-12-31,1999-02-12,1998-12-31,2018-08-31,0.0,58135725.0,58644212.0,26748997.0,31386728.0,1.502,5.767,-3558534.0,0.0,0.0,70052880.0,5137302.0,1.993,1.057,16018252.0,2542945.0,13475307.0,16018252.0,0.0,3897563.0,0.0,0.01,0.1,9275726.0,13173289.0,0.15,13173289.0,9275726.0,8065976.0,1.05,1.05,1.05,28260661.0,26645349.0,28260661.0,63793252.0,7.0,4.843,2813852.0,0.574,1.0,18039990.0,0.205,3784115.0,1209750.0,56948866.0,58046844.0,11031017.0,0.0,0.0,0.0,29875064.0,13420996.0,16454068.0,47775000.0,,0.0,0.0,-2648852.0,-490000.0,-3138852.0,-3233534.0,0.0,6372386.0,,5137302.0,5137302.0,5137302.0,0.0,0.0,0.058,8764264.0,9275726.0,10235204.0,0.095,1.691,9.3,9.286,27602613.0,0.0,9.75,0.542,0.542,13536804.0,19105987.0,88092870.0,88092870.0,0.0,0.088,0.193,0.16,0.105,0.0,8764264.0,1.0,4900000.0,4900000.0,4920018.0,17.978,54351610.0,1817012.0,2928674.0,3621608.0,11.092,13328001.0
81162,HILI1,ART,1998-09-30,1998-11-12,1998-09-30,2018-08-31,0.0,60055211.0,58581375.0,28502885.0,31552326.0,1.493,5.555,,0.0,0.0,69569771.0,4914960.0,2.291,1.206,19839190.0,2422945.0,17416245.0,19839190.0,0.0,,0.0,0.012,0.1,8963702.0,,,,8963702.0,7686261.0,1.0,1.0,1.0,27220640.0,25483123.0,27220640.0,61489190.0,7.0,,,,1.0,17882396.0,0.204,3841162.0,1277441.0,63613674.0,58550483.0,11031883.0,0.0,0.0,0.0,32834571.0,12439565.0,20395006.0,41650000.0,,,,,,,,,,,4914960.0,4914960.0,4914960.0,0.0,0.0,0.056,8918694.0,8963702.0,10010626.0,0.1,1.53,8.474,8.5,27711164.0,0.0,8.5,0.476,0.476,14543197.0,18065966.0,87452167.0,87452167.0,0.0,0.084,0.193,0.153,0.102,,8918694.0,1.0,4900000.0,4900000.0,4919361.0,17.847,56214049.0,1817012.0,2771301.0,2984755.0,11.472,16063320.0
